error,anomaly
408.43683,False
370.02496,False
369.94034,False
369.37994,False
407.86636,False
446.83862,True
408.43826,False
370.0368,False
370.0267,False
369.95224,False
369.4663,False
370.0382,False
331.6366,False
293.2249,False
248.34013,False
207.47978,False
207.56592,False
208.13652,False
169.72464,False
131.2382,False
92.265526,False
92.261986,False
92.236305,False
92.06814,False
98.61839,False
100.56608,False
148.16617,False
148.1661,False
148.16609,False
141.76608,False
131.86612,False
131.86633,False
131.86795,False
126.77991,False
126.86672,False
117.43296,False
67.26091,False
67.22838,False
57.010517,False
56.836487,False
59.662914,False
50.54312,False
42.012962,False
37.29293,False
26.880615,False
27.407858,False
20.889341,False
10.554438,False
13.331441,False
10.069937,False
7.4786897,False
10.203967,False
13.355026,False
18.116938,False
66.582016,False
68.1946,False
66.49623,False
71.55959,False
70.508255,False
118.4573,False
123.65227,False
122.61228,False
121.40189,False
117.98374,False
68.79725,False
77.015564,False
80.89121,False
76.362595,False
75.91106,False
30.381977,False
30.29072,False
28.215961,False
29.366816,False
32.031727,False
32.728218,False
23.409237,False
19.722519,False
24.251707,False
24.145346,False
23.061785,False
19.557827,False
19.785175,False
15.709282,False
16.822727,False
24.548573,False
27.10827,False
27.437946,False
23.098423,False
25.775558,False
26.815039,False
25.231022,False
25.008957,False
32.410255,False
28.47768,False
20.188484,False
21.185505,False
21.390976,False
21.48872,False
19.101383,False
18.870031,False
23.72137,False
28.857502,False
22.055725,False
21.15565,False
57.535675,False
53.181664,False
54.163086,False
53.20463,False
58.249798,False
55.094166,False
51.07002,False
47.608627,False
49.49826,False
50.636513,False
14.671448,False
17.356134,False
16.458668,False
16.857626,False
12.62759,False
12.683939,False
60.242268,False
59.11012,False
58.928875,False
60.193245,False
59.500618,False
55.66435,False
56.480083,False
61.38543,False
64.16237,False
66.17573,False
79.348236,False
79.51981,False
80.6899,False
78.96217,False
79.83528,False
81.606186,False
82.49016,False
145.14592,False
142.47945,False
141.71945,False
78.15306,False
78.85045,False
74.58007,False
74.685165,False
75.451485,False
74.88664,False
75.06727,False
7.9493356,False
7.8092203,False
12.730593,False
12.872055,False
15.560496,False
14.685747,False
14.821732,False
13.274961,False
15.981588,False
15.125196,False
13.500089,False
17.64568,False
12.549906,False
13.698387,False
10.248107,False
72.57129,False
72.69682,False
72.89286,False
73.91268,False
136.45573,False
141.63612,False
136.78508,False
136.98819,False
137.08243,False
139.20752,False
76.471115,False
80.0296,False
81.92674,False
77.85049,False
16.055477,False
10.911965,False
10.57958,False
10.581517,False
13.324621,False
47.79598,False
114.620346,False
110.99336,False
110.78709,False
111.297714,False
110.41423,False
114.06248,False
114.07133,False
114.854614,False
116.8005,False
81.25711,False
12.584787,False
13.514752,False
13.428906,False
14.693443,False
18.802082,False
15.87512,False
15.853747,False
17.255482,False
17.011982,False
16.679728,False
17.082615,False
21.132687,False
23.14999,False
25.261868,False
20.253798,False
19.641724,False
24.748335,False
23.349854,False
18.175749,False
18.258352,False
80.589005,False
76.536514,False
72.90203,False
81.174706,False
100.75063,False
120.13275,False
131.76056,False
151.3238,False
171.04129,False
188.92133,False
139.76193,False
158.401,False
173.34702,False
180.98923,False
180.983,False
180.94235,False
183.68895,False
178.48099,False
178.42786,False
173.59285,False
178.87582,False
178.79483,False
170.89014,False
170.88992,False
165.68816,False
162.9754,False
216.19199,False
202.76851,False
183.14633,False
171.18423,False
229.94695,False
211.00223,False
204.97632,False
186.89871,False
173.02295,False
158.21442,False
85.045494,False
84.08629,False
85.81052,False
88.56415,False
9.360379,False
9.284863,False
9.415309,False
7.832905,False
12.41778,False
11.146219,False
10.191213,False
13.927747,False
13.214056,False
13.123767,False
12.856062,False
11.953542,False
15.4107485,False
17.255865,False
13.014803,False
17.500208,False
19.217606,False
19.078634,False
96.6037,False
99.75285,False
99.60582,False
99.92473,False
96.325806,False
95.10455,False
94.77823,False
90.16841,False
93.700356,False
90.99124,False
13.138539,False
11.497942,False
11.553236,False
15.074905,False
16.718515,False
16.422604,False
16.15222,False
88.844444,False
88.540535,False
90.33962,False
95.1912,False
96.20524,False
98.02036,False
95.89412,False
172.49313,False
172.75546,False
178.64885,False
109.67735,False
104.76174,False
103.44269,False
101.876144,False
97.75334,False
96.300125,False
174.05634,False
172.81107,False
174.59126,False
169.6488,False
164.56812,False
168.10745,False
168.36548,False
164.18042,False
163.3356,False
164.7465,False
86.27004,False
6.6983895,False
5.819152,False
12.298087,False
16.002117,False
13.775249,False
18.650005,False
32.01408,False
44.161263,False
60.957664,False
80.43623,False
95.013084,False
130.43565,False
140.8295,False
149.26057,False
167.4389,False
177.17221,False
179.63977,False
203.74123,False
222.98064,False
222.92944,False
228.41846,False
208.92065,False
206.34517,False
211.27559,False
203.69325,False
208.98344,False
206.76457,False
185.02846,False
192.78899,False
217.28093,False
241.72685,False
268.88474,False
294.52075,False
321.64514,False
349.67502,False
369.9886,False
399.75336,False
429.88257,True
429.88248,True
429.8816,True
425.7752,True
421.6338,False
421.6744,False
421.6277,False
425.73492,True
425.78256,True
421.68243,False
421.68146,False
417.57428,False
417.5267,False
417.52765,False
417.53473,False
417.58145,False
413.47437,False
413.42755,False
417.53387,False
421.67523,False
417.53375,False
417.57422,False
413.42657,False
413.4267,False
417.52768,False
421.63492,False
425.7824,True
393.7813,False
353.27402,False
357.52652,False
319.12653,False
327.52762,False
335.93466,False
305.9808,False
310.2706,False
314.4956,False
318.29642,False
354.4577,False
399.90884,False
351.6785,False
360.92654,False
322.45206,False
321.96628,False
316.13837,False
316.13818,False
316.13583,False
316.11798,False
315.9883,False
319.63394,False
367.4778,False
405.95053,False
444.8235,True
405.77545,False
451.33862,True
412.93857,False
412.93954,False
374.54562,False
374.58603,False
331.63678,False
340.8265,False
340.75058,False
301.85413,False
302.3504,False
263.4541,False
263.95047,False
225.05453,False
225.55376,False
186.67871,False
187.32,False
139.5383,False
100.56608,False
100.56608,False
100.56608,False
